corpID,firstName,lastName,fullName,email,telephoneNumber,gender,grade,salary,position_role_id,team_ID,createdAt,createdBy,modifiedAt,modifiedBy
s-21447934,firstName-21447934,lastName-21447934,fullName-21447934,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,D2,76,17879,14021356-7b1e-405c-9ab7-ced804174bc6,2023-08-10T00:00:00.000Z,createdBy.crpby@example.net,2005-10-15T00:00:00.000Z,modifiedBy.crpby@example.com
s-23510655,firstName-23510655,lastName-23510655,fullName-23510655,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,C3,18,15883,21906040-8162-4139-8a28-eda36facae13,2002-05-18T00:00:00.000Z,createdBy.dzwxr@example.net,2022-05-12T00:00:00.000Z,modifiedBy.dzwxr@example.com
s-23510656,firstName-23510656,lastName-23510656,fullName-23510656,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,E1,13,15883,21906040-8162-4139-8a28-eda36facae13,2018-06-12T00:00:00.000Z,createdBy.dzwxs@example.net,2013-10-15T00:00:00.000Z,modifiedBy.dzwxs@example.org
s-23510657,firstName-23510657,lastName-23510657,fullName-23510657,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,A1,48,15883,21906040-8162-4139-8a28-eda36facae13,2022-07-16T00:00:00.000Z,createdBy.dzwxt@example.org,2013-02-15T00:00:00.000Z,modifiedBy.dzwxt@example.com
s-23510658,firstName-23510658,lastName-23510658,fullName-23510658,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,C1,40,15883,21906040-8162-4139-8a28-eda36facae13,2017-06-11T00:00:00.000Z,createdBy.dzwxu@example.com,2021-03-26T00:00:00.000Z,modifiedBy.dzwxu@example.com
s-23510659,firstName-23510659,lastName-23510659,fullName-23510659,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,C1,82,15883,21906040-8162-4139-8a28-eda36facae13,2010-11-12T00:00:00.000Z,createdBy.dzwxv@example.org,2002-07-30T00:00:00.000Z,modifiedBy.dzwxv@example.com
s-23510660,firstName-23510660,lastName-23510660,fullName-23510660,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,A1,60,15883,21906040-8162-4139-8a28-eda36facae13,2003-06-08T00:00:00.000Z,createdBy.dzwxw@example.com,2016-06-23T00:00:00.000Z,modifiedBy.dzwxw@example.com
s-23510661,firstName-23510661,lastName-23510661,fullName-23510661,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,C1,32,15883,21906040-8162-4139-8a28-eda36facae13,2017-05-16T00:00:00.000Z,createdBy.dzwxx@example.com,2012-02-16T00:00:00.000Z,modifiedBy.dzwxx@example.net
s-23510662,firstName-23510662,lastName-23510662,fullName-23510662,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,A1,8,15883,21906040-8162-4139-8a28-eda36facae13,2015-02-01T00:00:00.000Z,createdBy.dzwxy@example.org,2016-05-01T00:00:00.000Z,modifiedBy.dzwxy@example.com
s-23510663,firstName-23510663,lastName-23510663,fullName-23510663,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,F,93,15883,21906040-8162-4139-8a28-eda36facae13,2002-05-22T00:00:00.000Z,createdBy.dzwxz@example.com,2010-11-10T00:00:00.000Z,modifiedBy.dzwxz@example.org
s-23510664,firstName-23510664,lastName-23510664,fullName-23510664,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,C1,22,15883,21906040-8162-4139-8a28-eda36facae13,2016-05-18T00:00:00.000Z,createdBy.dzwy0@example.net,2005-01-07T00:00:00.000Z,modifiedBy.dzwy0@example.org
s-23510665,firstName-23510665,lastName-23510665,fullName-23510665,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,B2,85,15883,21906040-8162-4139-8a28-eda36facae13,2016-02-23T00:00:00.000Z,createdBy.dzwy1@example.org,2017-11-24T00:00:00.000Z,modifiedBy.dzwy1@example.com
s-23510666,firstName-23510666,lastName-23510666,fullName-23510666,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,F,65,15883,21906040-8162-4139-8a28-eda36facae13,2005-02-08T00:00:00.000Z,createdBy.dzwy2@example.net,2015-11-22T00:00:00.000Z,modifiedBy.dzwy2@example.com
s-23510667,firstName-23510667,lastName-23510667,fullName-23510667,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,D1,63,15883,21906040-8162-4139-8a28-eda36facae13,2007-02-08T00:00:00.000Z,createdBy.dzwy3@example.com,2011-10-05T00:00:00.000Z,modifiedBy.dzwy3@example.com
s-23510668,firstName-23510668,lastName-23510668,fullName-23510668,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,C3,14,15883,21906040-8162-4139-8a28-eda36facae13,2013-03-15T00:00:00.000Z,createdBy.dzwy4@example.com,2021-09-24T00:00:00.000Z,modifiedBy.dzwy4@example.org
s-23510669,firstName-23510669,lastName-23510669,fullName-23510669,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,B2,44,15883,21906040-8162-4139-8a28-eda36facae13,2013-10-05T00:00:00.000Z,createdBy.dzwy5@example.net,2020-09-12T00:00:00.000Z,modifiedBy.dzwy5@example.net
s-23510670,firstName-23510670,lastName-23510670,fullName-23510670,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,A2,93,15883,21906040-8162-4139-8a28-eda36facae13,2002-09-15T00:00:00.000Z,createdBy.dzwy6@example.com,2002-12-27T00:00:00.000Z,modifiedBy.dzwy6@example.org
s-23510671,firstName-23510671,lastName-23510671,fullName-23510671,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,F,19,15883,21906040-8162-4139-8a28-eda36facae13,2003-05-06T00:00:00.000Z,createdBy.dzwy7@example.net,2011-12-24T00:00:00.000Z,modifiedBy.dzwy7@example.com
s-23510672,firstName-23510672,lastName-23510672,fullName-23510672,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,F,60,15883,21906040-8162-4139-8a28-eda36facae13,2022-11-05T00:00:00.000Z,createdBy.dzwy8@example.org,2013-07-08T00:00:00.000Z,modifiedBy.dzwy8@example.net
s-23510673,firstName-23510673,lastName-23510673,fullName-23510673,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,A1,67,15883,21906040-8162-4139-8a28-eda36facae13,2009-01-08T00:00:00.000Z,createdBy.dzwy9@example.org,2014-03-20T00:00:00.000Z,modifiedBy.dzwy9@example.com
s-23510674,firstName-23510674,lastName-23510674,fullName-23510674,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,E1,65,15883,21906040-8162-4139-8a28-eda36facae13,2008-01-05T00:00:00.000Z,createdBy.dzwya@example.org,2012-10-14T00:00:00.000Z,modifiedBy.dzwya@example.com
s-23510675,firstName-23510675,lastName-23510675,fullName-23510675,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,E2,44,15883,21906040-8162-4139-8a28-eda36facae13,2002-12-22T00:00:00.000Z,createdBy.dzwyb@example.org,2001-08-16T00:00:00.000Z,modifiedBy.dzwyb@example.net
s-23510676,firstName-23510676,lastName-23510676,fullName-23510676,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,D2,92,15883,21906040-8162-4139-8a28-eda36facae13,2023-11-04T00:00:00.000Z,createdBy.dzwyc@example.org,2015-10-31T00:00:00.000Z,modifiedBy.dzwyc@example.com
s-23510677,firstName-23510677,lastName-23510677,fullName-23510677,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",F,E1,20,15883,21906040-8162-4139-8a28-eda36facae13,2007-03-06T00:00:00.000Z,createdBy.dzwyd@example.com,2014-05-16T00:00:00.000Z,modifiedBy.dzwyd@example.org
s-23510678,firstName-23510678,lastName-23510678,fullName-23510678,ndexp' to create data for regex ^\\S+@\\S+\\.\\S+$,"(\\)\\-]{9,15}$",M,B1,2,15883,21906040-8162-4139-8a28-eda36facae13,2019-04-16T00:00:00.000Z,createdBy.dzwye@example.net,2011-12-20T00:00:00.000Z,modifiedBy.dzwye@example.net
